id,question,answer,category,source,source_type
1,When was KUET founded?,KUET began as Khulna Engineering College in 1967. Academic activities started on 3 June 1974.,university_information,https://www.kuet.ac.bd/about-kuet/history,official_web
2,Which departments did KUET have when academic activities began?,"Academic activities began with the Civil Engineering, Electrical and Electronic Engineering, and Mechanical Engineering departments.",university_information,https://www.kuet.ac.bd/about-kuet/history,official_web
3,When did Khulna Engineering College become BIT Khulna?,It was converted into Bangladesh Institute of Technology Khulna on 1 July 1986.,university_information,https://www.kuet.ac.bd/about-kuet/history,official_web
4,When did the institution become KUET?,The institute became Khulna University of Engineering & Technology on 1 September 2003.,university_information,https://www.kuet.ac.bd/about-kuet/history,official_web
5,What type of university is KUET?,KUET is a public engineering university in Bangladesh.,university_information,https://www.kuet.ac.bd/about-kuet/kuetataglance,official_web
6,How many faculties does KUET have?,KUET lists four faculties.,university_information,https://www.kuet.ac.bd/about-kuet/kuetataglance,official_web
7,How many institutes does KUET have?,KUET lists three institutes.,university_information,https://www.kuet.ac.bd/about-kuet/kuetataglance,official_web
8,How many departments does KUET have?,KUET lists twenty departments.,university_information,https://www.kuet.ac.bd/about-kuet/kuetataglance,official_web
9,How large is the KUET campus?,The KUET campus covers 117.302 acres.,university_information,https://www.kuet.ac.bd/about-kuet/kuetataglance,official_web
10,How many residential halls are listed at KUET?,KUET lists seven residential halls.,university_information,https://www.kuet.ac.bd/about-kuet/kuetataglance,official_web
11,How many undergraduate degrees does KUET list?,KUET lists sixteen undergraduate degree programs.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
12,Which traditional engineering undergraduate degrees are offered at KUET?,"KUET offers undergraduate degrees in Civil, Electrical and Electronic, Mechanical, Computer Science and Engineering, and Electronics and Communication Engineering, among other fields.",undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
13,Does KUET offer an undergraduate degree in Computer Science and Engineering?,Yes. KUET lists a B.Sc. Engineering degree in Computer Science and Engineering.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
14,How long is a BSc Engineering degree at KUET?,"The listed B.Sc. Engineering degrees normally take four academic years, with two terms in each year.",undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
15,Does KUET have an Industrial Engineering and Management department?,Yes. KUET has a Department of Industrial Engineering and Management under the Faculty of Mechanical Engineering.,undergraduate_programs,https://www.kuet.ac.bd/dme,official_web
16,Does KUET offer Urban and Regional Planning?,Yes. KUET offers the Bachelor of Urban and Regional Planning degree.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
17,Does KUET offer Leather Engineering?,Yes. KUET lists a B.Sc. Engineering degree in Leather Engineering.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
18,Does KUET offer Textile Engineering?,Yes. KUET lists a B.Sc. Engineering degree in Textile Engineering.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
19,Does KUET offer Mechatronics Engineering?,Yes. KUET lists a B.Sc. Engineering degree in Mechatronics Engineering.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
20,Does KUET offer Chemical Engineering?,Yes. KUET lists a B.Sc. Engineering degree in Chemical Engineering.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
21,How long is the Bachelor of Architecture program at KUET?,"The Bachelor of Architecture program takes five academic years, with two terms in each year.",undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
22,Does KUET offer Architecture?,Yes. KUET lists a Bachelor of Architecture degree.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
23,Does KUET offer Biomedical Engineering?,Yes. KUET lists a B.Sc. Engineering degree in Biomedical Engineering.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
24,Does KUET offer Materials Science and Engineering?,Yes. KUET lists a B.Sc. Engineering degree in Materials Science and Engineering.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
25,Does KUET offer Energy Science and Engineering?,Yes. KUET lists a B.Sc. Engineering degree in Energy Science and Engineering.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
26,Does KUET offer Building Engineering and Construction Management?,Yes. KUET lists a B.Sc. Engineering degree in Building Engineering and Construction Management.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
27,How is the undergraduate academic year divided at KUET?,The undergraduate degree page describes two terms in each academic year.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
28,Where can I see KUET undergraduate degree offerings?,The official Undergraduate Degree page lists KUET's current undergraduate programs and their departments.,undergraduate_programs,https://www.kuet.ac.bd/program/ugdegree,official_web
29,What types of postgraduate degrees does KUET offer?,"KUET lists M.Sc. Engineering, M.Sc., M.Phil., and Ph.D. degrees across eligible departments and institutes.",postgraduate_programs,https://www.kuet.ac.bd/program/pgdegree,official_web
30,Does KUET offer MPhil degrees?,Yes. KUET lists M.Phil. programs in eligible fields.,postgraduate_programs,https://www.kuet.ac.bd/program/pgdegree,official_web
31,Does KUET offer PhD degrees?,Yes. KUET lists Ph.D. programs through eligible departments and institutes.,postgraduate_programs,https://www.kuet.ac.bd/program/pgdegree,official_web
32,Does CSE at KUET offer postgraduate study?,Yes. The postgraduate degree page lists M.Sc. Engineering and Ph.D. study in Computer Science and Engineering.,postgraduate_programs,https://www.kuet.ac.bd/program/pgdegree,official_web
33,What is the minimum duration of an MSc Engineering degree at KUET?,The minimum duration is three semesters.,postgraduate_programs,https://www.kuet.ac.bd/program/pgdegree,official_web
34,What is the maximum time allowed for an MSc Engineering or MSc degree at KUET?,The listed maximum duration is five academic years.,postgraduate_programs,https://www.kuet.ac.bd/program/pgdegree,official_web
35,What is the minimum duration of an MPhil degree at KUET?,The minimum duration is four semesters.,postgraduate_programs,https://www.kuet.ac.bd/program/pgdegree,official_web
36,What is the maximum time allowed for a PhD at KUET?,The listed maximum duration is seven academic years.,postgraduate_programs,https://www.kuet.ac.bd/program/pgdegree,official_web
37,When can I apply for postgraduate admission at KUET?,KUET invites postgraduate applications before the beginning of each semester. Applicants should use the current official postgraduate admission notice.,postgraduate_admission,https://www.kuet.ac.bd/program/pgapplyprocedure,official_web
38,Where are KUET postgraduate admission notices published?,Current postgraduate admission notices and forms are published on KUET's official postgraduate admission page.,postgraduate_admission,https://www.kuet.ac.bd/pgadmission,official_web
39,How are postgraduate applicants selected at KUET?,The relevant selection committee reviews applications and may arrange an interview before recommending admission.,postgraduate_admission,https://www.kuet.ac.bd/program/pgapplyprocedure,official_web
40,Where can I find the KUET postgraduate application form?,Application forms are linked from the official KUET postgraduate admission page.,postgraduate_admission,https://www.kuet.ac.bd/pgadmission,official_web
41,Should I use an old KUET postgraduate admission notice?,No. Use the current notice on the official postgraduate admission page because requirements and dates can change by semester.,postgraduate_admission,https://www.kuet.ac.bd/pgadmission,official_web
42,Where can I check postgraduate admission requirements at KUET?,Check the eligibility information and current circular on the official postgraduate admission page.,postgraduate_admission,https://www.kuet.ac.bd/pgadmission,official_web
43,Where should I apply for KUET undergraduate admission?,Use KUET's official undergraduate admission portal and the circular for the applicable admission session.,undergraduate_admission,https://admission.kuet.ac.bd/,official_web
44,Where can I find the KUET undergraduate admission circular?,The official admission portal publishes the current session's circular and related notices.,undergraduate_admission,https://admission.kuet.ac.bd/,official_web
45,Does KUET admission information change by session?,"Yes. Eligibility, dates, and procedures are session-specific, so applicants should follow the circular for their admission session.",undergraduate_admission,https://admission.kuet.ac.bd/,official_web
46,Can this FAQ confirm my admission eligibility?,No. Confirm eligibility against the official circular for your admission session on the KUET admission portal.,undergraduate_admission,https://admission.kuet.ac.bd/,official_web
47,Where are KUET undergraduate admission updates posted?,Use the notices and updates on KUET's official admission portal.,undergraduate_admission,https://admission.kuet.ac.bd/,official_web
48,Which admission session is currently shown on the KUET portal?,The portal reviewed on 14 September 2026 displayed the Undergraduate Admission 2026-27 session. Recheck the portal for the current session.,undergraduate_admission,https://admission.kuet.ac.bd/,official_web
49,Where is the KUET Central Library located?,The Central Library is on the second and third floors of A Block near Durbar Bangla.,library,https://library.kuet.ac.bd/about.php,official_web
50,How many books may a KUET undergraduate borrow?,An undergraduate student may borrow three books for one month.,library,https://library.kuet.ac.bd/about.php,official_web
51,How many books may a KUET master's student borrow?,A master's student may borrow five books for one month.,library,https://library.kuet.ac.bd/about.php,official_web
52,What may a KUET PhD student borrow from the library?,A Ph.D. student may borrow ten books and one journal for six months.,library,https://library.kuet.ac.bd/about.php,official_web
53,Can KUET library books be renewed online?,"Yes. A borrowed book may be renewed online up to five times within thirty days, subject to library conditions.",library,https://library.kuet.ac.bd/about.php,official_web
54,Can I place a hold on a KUET library book online?,Yes. Registered members can place an online hold on a book that is currently borrowed.,library,https://library.kuet.ac.bd/about.php,official_web
55,What is the KUET library overdue fine?,The library page states an overdue fine of Tk 2 per day for each book.,library,https://library.kuet.ac.bd/about.php,official_web
56,What should I do if I lose a KUET library book?,Report the loss to the library and follow its replacement procedure; the library requires replacement of a lost book under its stated rules.,library,https://library.kuet.ac.bd/about.php,official_web
57,Is library clearance required before KUET publishes a final result?,Yes. The library page states that library clearance is required before publication of a student's final result.,library,https://library.kuet.ac.bd/about.php,official_web
58,What happens if a KUET library item is overdue?,The member's borrowing service is blocked until the overdue item is returned and the applicable fine is handled.,library,https://library.kuet.ac.bd/about.php,official_web
59,Does the KUET library send due-date notices?,"The library states that it sends issue, return, reminder, overdue, and hold notices by email.",library,https://library.kuet.ac.bd/about.php,official_web
60,What are the KUET library reference service hours?,"The reference section is listed as open from 9:00 a.m. to 5:00 p.m., Sunday through Thursday.",library,https://library.kuet.ac.bd/about.php,official_web
61,Can reference books be borrowed from the KUET library?,No. Reference materials are for use within the reference section.,library,https://library.kuet.ac.bd/about.php,official_web
62,Does the KUET library have a journal section?,Yes. The library has a journal section for current and archived journals and related periodicals.,library,https://library.kuet.ac.bd/about.php,official_web
63,Does the KUET library provide newspapers?,Yes. A newspaper section provides national newspapers during the library's stated service hours.,library,https://library.kuet.ac.bd/about.php,official_web
64,Does the KUET library have computers for digital resources?,Yes. The Digital Library Access Center is described as having twenty-seven desktop computers for access to digital resources.,library,https://library.kuet.ac.bd/about.php,official_web
65,Can KUET students access subscribed e-resources on campus?,Yes. The library provides access to subscribed electronic resources through the campus network.,library,https://library.kuet.ac.bd/about.php,official_web
66,Does the KUET library have a reading room?,Yes. The general reading room has seating for more than one hundred readers.,library,https://library.kuet.ac.bd/about.php,official_web
67,Does the KUET library have a special collection?,Yes. The reading-room area includes a special collection described on the library service page.,library,https://library.kuet.ac.bd/about.php,official_web
68,What is the Career Corner in the KUET library?,The Career Corner provides materials intended to support career preparation and competitive examinations.,library,https://library.kuet.ac.bd/about.php,official_web
69,Is photocopying available at the KUET library?,Yes. The library lists a photocopy service operated through photocopy coupons.,library,https://library.kuet.ac.bd/about.php,official_web
70,Can final-year groups borrow extra library books for a thesis?,Yes. An undergraduate thesis group may borrow three additional books for twenty-one days under the stated library rule.,library,https://library.kuet.ac.bd/about.php,official_web
71,Where can I find KUET library question-bank materials?,Use the Question Bank link provided by the KUET Central Library website.,library,https://library.kuet.ac.bd/about.php,official_web
72,What does the KUET Central Computer Center provide?,"The Central Computer Center provides campus Internet, network, computing, email, laboratory, and technical support services.",academic_services,https://www.kuet.ac.bd/ccc,official_web
73,Is KUET Internet support available around the clock?,"The Central Computer Center states that Internet and computing support is provided twenty-four hours a day, seven days a week.",academic_services,https://www.kuet.ac.bd/ccc,official_web
74,How do KUET users get Wi-Fi credentials?,Eligible users obtain campus Wi-Fi credentials through the Central Computer Center's stated account process.,academic_services,https://www.kuet.ac.bd/ccc,official_web
75,How can I connect a device to the KUET wired network?,The Central Computer Center handles LAN access and device registration using the device's MAC address.,academic_services,https://www.kuet.ac.bd/ccc,official_web
76,Does KUET provide institutional email?,Yes. The Central Computer Center lists cloud email service for the university community.,academic_services,https://www.kuet.ac.bd/ccc,official_web
77,When is KUET hardware and software support available?,The Central Computer Center lists hardware and software support from 9:00 a.m. to 5:00 p.m. on working days.,academic_services,https://www.kuet.ac.bd/ccc,official_web
78,Does the KUET Central Computer Center have a data center?,Yes. Its facilities include a data center described as housing twenty-five servers.,academic_services,https://www.kuet.ac.bd/ccc,official_web
79,Does KUET have central computer laboratories?,Yes. The Central Computer Center lists two laboratories with thirty computers in each.,academic_services,https://www.kuet.ac.bd/ccc,official_web
80,Does KUET provide campus network service?,Yes. The Central Computer Center operates and supports the university campus network.,academic_services,https://www.kuet.ac.bd/ccc,official_web
81,Does KUET have distance-learning facilities?,Yes. The Central Computer Center lists a distance-learning facility with seating for more than sixty participants.,academic_services,https://www.kuet.ac.bd/ccc,official_web
82,Where can I find the KUET paperless registration manual?,The public KUET Academic System page links the Paperless Registration Manual.,academic_services,https://academic.kuet.ac.bd/index.php,official_web
83,What services does the KUET medical center provide?,"The Chief Medical Officer's office lists doctor visits, pathology tests, ambulance service, health certificates, fitness assessments, and sick-bed examinations.",medical_services,https://www.kuet.ac.bd/cmo,official_web
84,Can I see a doctor at the KUET medical center?,Yes. Doctor Visit is one of the services listed by the Chief Medical Officer's office.,medical_services,https://www.kuet.ac.bd/cmo,official_web
85,Does KUET provide an ambulance service?,Yes. Ambulance service is listed by the Chief Medical Officer's office.,medical_services,https://www.kuet.ac.bd/cmo,official_web
86,Can the KUET medical center perform pathology tests?,Yes. Pathology Test is among the listed medical-center services.,medical_services,https://www.kuet.ac.bd/cmo,official_web
87,Can I request a health certificate from the KUET medical center?,Yes. Health Certificate is a service listed by the Chief Medical Officer's office.,medical_services,https://www.kuet.ac.bd/cmo,official_web
88,Does the KUET medical center conduct fitness assessments?,Yes. Fit or Unfit assessment is listed among its services.,medical_services,https://www.kuet.ac.bd/cmo,official_web
89,Where can I check the KUET bus schedule?,Use the official KUET Transport page for the current regular bus schedule.,campus_facilities,https://www.kuet.ac.bd/transport,official_web
90,Does KUET have a water treatment plant?,Yes. KUET describes a water treatment plant that supplies safe water on campus.,campus_facilities,https://www.kuet.ac.bd/general/wtp,official_web
91,How does KUET manage campus waste?,"KUET describes a waste-management facility for collection, management, and recycling of campus waste.",campus_facilities,https://www.kuet.ac.bd/general/wmp,official_web
92,Is there a central cafeteria at KUET?,"Yes. The Central Cafeteria provides breakfast, meals, snacks, and drinks for the campus community.",campus_facilities,https://www.kuet.ac.bd/general/centralcafeteria,official_web
93,Does KUET have a gymnasium?,Yes. KUET lists a gymnasium with exercise equipment for students.,campus_facilities,https://www.kuet.ac.bd/general/gympool,official_web
94,Does KUET have an open stage?,Yes. KUET has an open stage used for concerts and other events.,campus_facilities,https://www.kuet.ac.bd/general/openstage,official_web
95,Where can KUET students play indoor games?,The indoor games room is at the Student Welfare Center and supports activities including table tennis and badminton.,campus_facilities,https://www.kuet.ac.bd/general/indoorgame,official_web
96,Does KUET offer scholarships?,Yes. The official scholarship page lists several scholarship opportunities for students.,scholarships,https://www.kuet.ac.bd/general/scholarships,official_web
97,What general factors are considered for KUET scholarships?,The scholarship page describes financial need and excellent academic performance as general considerations; applicants must check each scholarship's own rules.,scholarships,https://www.kuet.ac.bd/general/scholarships,official_web
98,Where can I get KUET scholarship forms and details?,The scholarship page directs students to the Academic section for forms and detailed conditions.,scholarships,https://www.kuet.ac.bd/general/scholarships,official_web
99,Which hall is the oldest at KUET?,Fazlul Haque Hall is described as KUET's oldest residential hall.,residential_halls,https://www.kuet.ac.bd/fhh,official_web
100,Which KUET hall is for female students?,Rokeya Hall is described as KUET's female residential hall.,residential_halls,https://www.kuet.ac.bd/rkh,official_web
101,Which is the largest residential hall at KUET?,Amar Ekushey Hall is described as the largest residential hall at KUET.,residential_halls,https://www.kuet.ac.bd/aeh,official_web
102,Which is the newest KUET residential hall?,Shaheed Smriti Hall is described as the newest residential hall.,residential_halls,https://www.kuet.ac.bd/smriti,official_web
103,Does Fazlul Haque Hall have a library?,Yes. Fazlul Haque Hall lists the Sejuti library with about two thousand books.,residential_halls,https://www.kuet.ac.bd/fhh,official_web
104,When was Lalan Shah Hall founded?,Lalan Shah Hall was founded in 1975.,residential_halls,https://www.kuet.ac.bd/lsh,official_web
105,Does Lalan Shah Hall have a study room?,Yes. The hall describes a study room that remains available until 11:30 p.m.,residential_halls,https://www.kuet.ac.bd/lsh,official_web
106,When did Khan Jahan Ali Hall begin?,Khan Jahan Ali Hall began its journey in January 1977.,residential_halls,https://www.kuet.ac.bd/khaja,official_web
